BACK-END FRAMEWORKS,,
Express,,74%
Nest ,,30%
Fastify,,17%
Strapi,,14%
Koa,,10%
Hapi,,5%
Mateor,,4%
Adonis,,3%
Directus,,3%
Sails,,2%
Redwood,,2%
Hono,,1%
Blitz,,1%
Keystone,,1%
ElysiaJS,,0.6%
Nitro,,0.3%
Amplication,,0.2%
h3,,0.2%
tRPC,,0.2%
"Next,js",,0.2%
