Bibliotecas,,
Lodash,,50%
date-fns,,36%
Zod,,34%
Moment,,33%
Day.js,,26%
RxJS,,24%
JQuery,,22%
Yup,,16%
Core-js,,14%
Inmer,,12%
Luxón,,11%
Underscore.js,,11%
Ramda,,6%
Partytown,,5%
stdlib,,2%
Mitosis,,"0,60%"
Axios,,"0,40%"
Valibot,,"0,30%"
React Query,,"0,20%"
Zustand,,"0,20%"
